Borehole_Name,Source_ID,From_Depth,To_Depth,Depth_Units,From_Depth_mbgs,To_Depth_mbgs,Int_Top_Depth,Int_Bot_Depth,Pri_Material,Sec_Material,Colour,Full_Text,Comment
1,1,0,20,feet,0,6.1,0,6.1,till,,grey,"Till, grey, very silty with pebbles",
1,1,20,35,feet,6.1,10.67,6.1,10.67,silt,,grey - dark grey,"Silt - Glacial, grey - dark grey, occ. pebbles. Water table at 20'.",
1,1,35,37,feet,10.67,11.28,10.67,11.28,sand,,,Water sand at 35 - 37',Assume depth on log is a typo
1,1,37,48,feet,11.28,14.63,11.28,14.63,till,,dark grey,"Till, dark grey, very sandy and silty with common pebbles",
1,1,48,49,feet,14.63,14.94,14.63,14.94,shale,,Grey (bluish),"Bedrock. Grey (bluish), very silty, shale",
2,1,0,7,feet,0,2.13,0,2.13,till,gypsum,brown,Brown till with abundant gypsum,
2,1,7,12,feet,2.13,3.66,2.13,3.66,till,,,"Till less weathered trc. 0.5"" pebbles",
2,1,12,19,feet,3.66,5.79,3.66,5.79,bedrock,,grey,"Bedrock grey to bluish grey, silty, dry",
3,1,0,4,feet,0,1.22,0,1.22,till,,brown,Brown weathered till. Weathering resembles honeycomb. Trace gyp. and large pebbles at 9',
3,1,4,11,feet,1.22,3.35,1.22,3.35,till,,,Increase in sand content with depth (of Till) changes at 11' to,
3,1,11,17,feet,3.35,5.18,3.35,5.18,till,,grey,"Grey till, sandy with clay, pebbles grey and bluish grey.",
3,1,17,18,feet,5.18,5.49,5.18,5.49,sand,,,"Sand, fine - coarse grain glacial (water table)",
3,1,18,21,feet,5.49,6.4,5.49,6.4,till,,grey,"Till grey, silty with pebbles",
3,1,21,21.1,feet,6.4,6.43,6.4,6.43,boulders,,,Boulders,
4,1,0,4,feet,0,1.22,0,1.22,fill,,,Fill,
4,1,4,16,feet,1.22,4.88,1.22,4.88,till,,brown,"Till brown sandy, with minor pebbles",
4,1,16,57,feet,4.88,17.37,4.88,17.37,till,,grey,Till grey - dark grey with pebbles; 28': increase in pebble content of till,
4,1,57,59,feet,17.37,17.98,17.37,17.98,shale,till,grey,"Till changes to dark brown colour; Bedrock greenish grey shale silty, slightly weathered.",
5,1,0,7,feet,0,2.13,0,2.13,till,,grey and yellow-brown,"Till, grey, weathered, yellow-brown, very silty smooth",
5,1,7,8,feet,2.13,2.44,2.13,2.44,shale,,brown grey,"Shale, well banded, brown-grey, very silty lake?",
5,1,8,16,feet,2.44,4.88,2.44,4.88,till,,brown,"Till, brown, silty and sandy",
5,1,16,18,feet,4.88,5.49,4.88,5.49,shale,,greenish grey,"Bedrock, greenish grey silty shale",
6,1,0,11,feet,0,3.35,0,3.35,till,,brown,"Till brown silty, very pebbly, weathered",
6,1,11,26,feet,3.35,7.92,3.35,7.92,till,,grey,Unweathered grey very silty till,
6,1,26,42,feet,7.92,12.8,7.92,12.8,till,,,Very sandy till. Water added (at 35') to hole.,
6,1,42,47,feet,12.8,14.33,12.8,14.33,pebbly till,,,Very pebbly till. as above,
6,1,47,64,feet,14.33,19.51,14.33,19.51,till,,,Very sandy till with well rounded chert pebbles. Water table at 51'.,
6,1,64,71,feet,19.51,21.64,19.51,21.64,clay,,,"Bedrock - very silty and sandy, well banded, weathered clay. Abundant carb. material and hematite stained qtz grains. 71': TD.",
7,1,0,25,feet,0,7.62,0,7.62,till,,grey-brown,"Till, grey weathered brown, very silty and very smooth ?? pebbles. 11': Increase in sand content of till and trace pebbles.",Can't fully read text on log.
7,1,25,29,feet,7.62,8.84,7.62,8.84,shale,,brown,Bedrock - brown shale silty. 29' TD.,
8,1,0,15,feet,0,4.57,0,4.57,till,,brown,"Till brown, silty, weathered with common pebbles. 9 - 10': Water table.",
8,1,15,24,feet,4.57,7.32,4.57,7.32,till,,,Till as above but unweathered from 15',
8,1,24,30,feet,7.32,9.14,7.32,9.14,sand,,,"Sand very coarse - very fine grain quartz clear and clean, loose (glacial)",
8,1,30,46,feet,9.14,14.02,9.14,14.02,till,,dark grey,Till dark grey silty with common quartz grains,
8,1,46,50,feet,14.02,15.24,14.02,15.24,shale,,dark grey,"Bedrock upper 2' is very weathered with iron rich waters. Shale is generally dark grey firm, watery",
9,1,0,17,feet,0,5.18,0,5.18,till,,brown,"Brown sandy and silty weathered till with common pebbles granite, quartzite. 8': Increase in pebble content; water percolating into hole from 8'.",
9,1,17,26,feet,5.18,7.92,5.18,7.92,till,,dark brown to grey,Dark brown grey; very silty and pebbly till,
9,1,26,49,feet,7.92,14.94,7.92,14.94,till,,dark grey,Unweathered dark grey till.,
9,1,49,50,feet,14.94,15.24,14.94,15.24,sand,,,"Sand fine: medium occasional coarse grain, clean well sorted glacial sand, wet - clear quartz abundant pink and black grains. Water bearing.",
9,1,50,82,feet,15.24,24.99,15.24,24.99,till,,grey,Till grey; very sandy with minor pebbles,
9,1,82,84,feet,24.99,25.6,24.99,25.6,clay,,,Bedrock at 82' - very silty and sandy clay; slightly weathered.,
11,1,0,10,feet,0,3.05,0,3.05,till,,brown,Till brown; weathered silty; with occasional pebbles,
11,1,10,30,feet,3.05,9.14,3.05,9.14,till,,grey,Till grey partly unweathered. a/a. Grey very silty smooth till.,
11,1,30,37.5,feet,9.14,11.43,9.14,11.43,sandy till,,grey,Water at 30'; sandy till. Very fine sand; grey with black specks.,Depth unclear on log.
11,1,37.5,85,feet,11.43,25.91,11.43,25.91,till,,dark grey,"Till dark grey, silty; very pebbly",Depth unclear on log.
11,1,85,89.5,feet,25.91,27.28,25.91,27.28,shale,,brown,Bedrock; weathered to 89.5' brown shale silty changes to dark grey very silty firm shale minor nodules.,
11,1,89.5,90,feet,27.28,27.43,27.28,27.43,shale,silty shale,dark grey,,
12,1,0,15,feet,0,4.57,0,4.57,till,,brown yellow,"Till, brown yellow, weathered, silty",
12,1,15,60,feet,4.57,18.29,4.57,18.29,till,,grey,"Till, grey, very silty with pebbles. 40': Till, grey very silty very stony.",
12,1,60,65,feet,18.29,19.81,18.29,19.81,till,sand,,Till probably has sand layer from 60-65' producing water.,
12,1,65,85,feet,19.81,25.91,19.81,25.91,till,,,Bottom in till 85'.,
15,1,0,15,feet,0,4.57,0,4.57,till,,brown,Brown weathered sandy clay till,
15,1,15,24,feet,4.57,7.32,4.57,7.32,till,,,"Till less sandy with abundant pebbles, weathered with iron.",
15,1,24,40,feet,7.32,12.19,7.32,12.19,till,,grey,Till grey very silty with sand trace shale fragments and abundant pebbles; 30': Water table,
15,1,40,50,feet,12.19,15.24,12.19,15.24,till,,dark grey,"Till dark grey very silty with abundant pebbles of chert, peat, etc.",
15,1,50,52,feet,15.24,15.85,15.24,15.85,shale,,dark grey brown,Shale boulder in till dark grey with brown cast - lake type clay,
15,1,52,68,feet,15.85,20.73,15.85,20.73,till,,,Till very silty few pebbles,
15,1,68,85,feet,20.73,25.91,20.73,25.91,shale and silty clay,,brown green; grey,Bedrock? brown green shale banded with grey silty clay. Generally very plastic.,
17,1,0,16,feet,0,4.88,0,4.88,till,,brown,"Till brown weathered, silty with small pebbles of quartz, chert etc.",
17,1,16,36,feet,4.88,10.97,4.88,10.97,till,,grey,"Till grey very silty and sandy, with pebbles and traces of shale fragments",
17,1,36,41,feet,10.97,12.5,10.97,12.5,till,,dark grey,"Till clay dark grey, very silty with abundant coal and trace water",
17,1,41,49.5,feet,12.5,15.09,12.5,15.09,shale,,,shale - probably boulder in till,
17,1,49.5,85,feet,15.09,25.91,15.09,25.91,till,,dark grey,Till dark grey silty and with pebbles of quartzite. Increase in water. 80': Water in hole. 85': TD.,
20,1,0,18,feet,0,5.49,0,5.49,till,,brown,Till brown weathered very silty and sandy with occasional pebbles,
20,1,18,25,feet,5.49,7.62,5.49,7.62,till,,grey,Till slightly weathered grey with abundant pebbles,
20,1,25,80,feet,7.62,24.38,7.62,24.38,till,,dark grey -grey,"Till dark grey - grey very silty. 40'?: Increase in moisture content; Till dark grey very silty with very small pebbles; chert, limestone etc.",
20,1,80,81,feet,24.38,24.69,24.38,24.69,coal,,,Water at 80'. Coal layer,
20,1,81,85,feet,24.69,25.91,24.69,25.91,till,,,,
22,1,0,15,feet,0,4.57,0,4.57,till,,brown,Till brown weathered very sandy and silty,
22,1,15,35,feet,4.57,10.67,4.57,10.67,till,,grey brown,"Till slightly weathered, grey with brown patches; minor pebbles",
22,1,35,42,feet,10.67,12.8,10.67,12.8,till,,grey - dark grey,Till grey - dark grey silty with rare pebbles,
22,1,42,61,feet,12.8,18.59,12.8,18.59,silty till,,dark grey,Till dark grey silty,
22,1,61,63,feet,18.59,19.2,18.59,19.2,sand,,,Water table - appears to be present in 2' sand bed similar to Sask. sands.,
22,1,63,70,feet,19.2,21.34,19.2,21.34,shale,,brown and light yellow,Bedrock - shale weathered brown and light yellow. 70': TD.,
24,1,0,10,feet,0,3.05,0,3.05,till,,brown yellow,Till brown yellow silty clay with very small pebbles weathered.,
24,1,10,20,feet,3.05,6.1,3.05,6.1,till,,brown,"Till very stony, clay brown weathered",
24,1,20,40,feet,6.1,12.19,6.1,12.19,till,,dark grey,Till dark grey very silty with few pebbles,
24,1,40,43,feet,12.19,13.11,12.19,13.11,stony till,,,Layer of very stony till,
24,1,43,55,feet,13.11,16.76,13.11,16.76,shale,,grey to greenish grey,Bedrock grey shale very silty (upper 1' is sl. weathered in veins - due to fractures). 55': TD Shale changes to greenish grey,
26,1,0,12,feet,0,3.66,0,3.66,till,,,Till very sandy and silty,
26,1,12,41,feet,3.66,12.5,3.66,12.5,till,,brown,Till brown cast grey clay with bedrock shale fragments. Minor pebbles. Till very silty - smooth grey v.r. pebbles,
26,1,41,49,feet,12.5,14.94,12.5,14.94,shale,,greenish grey,Bedrock shale greenish grey silty. 49': TD.,
29,1,0,16,feet,0,4.88,0,4.88,till,,brown,Till brown sandy and silty,
29,1,16,40,feet,4.88,12.19,4.88,12.19,till,,grey,Till grey very silty and slightly sandy with common fragments of shale and pebbles of granite,
29,1,40,52,feet,12.19,15.85,12.19,15.85,till,,dark grey,Till dark grey very silty and sandy with fragments of bedrock shale and limestone pebbles,
29,1,52,60,feet,15.85,18.29,15.85,18.29,shale,,grey,Bedrock - grey very silty shale - clay. Sandy in parts. 60': TD.,
32,1,0,10,feet,0,3.05,0,3.05,till,,brown,Very sandy brown weathered till occasional pebbles,
32,1,10,25,feet,3.05,7.62,3.05,7.62,till,,dark grey,Unweathered till dark grey very silty with occasional pebbles,
32,1,25,34,feet,7.62,10.36,7.62,10.36,till,,grey,Very sandy till grey with common local bedrock shale,
32,1,34,40,feet,10.36,12.19,10.36,12.19,clay,,bluish grey,"Bedrock - bluish grey, very silty and abundant sand grains in clay.",
35,1,0,11,feet,0,3.35,0,3.35,till,,brown,Till brown firm weathered with pebbles,
35,1,11,19,feet,3.35,5.79,3.35,5.79,clay,shale,greenish grey,Bedrock weathered very sandy clay and shale. 17'?: Unweathered very silty greenish grey shale.,
37,1,0,8,feet,0,2.44,0,2.44,till,,brown,Till brown silty with stones,
37,1,8,11,feet,2.44,3.35,2.44,3.35,clay,,brown yellow,Bedrock brown yellow bentonitic clay. TD 11',
39,1,0,11,feet,0,3.35,0,3.35,clay,gypsum,brown,Brown weathered clay A.O. gypsiferous with pebbles common,
39,1,11,16,feet,3.35,4.88,3.35,4.88,shale,,,Bedrock - shale very weathered. 16' TD,
41,1,0,19,feet,0,5.79,0,5.79,till,,yellowish brown,Yellowish brown till; weathered; silty with common pebbles,
41,1,19,22,feet,5.79,6.71,5.79,6.71,till,,dark grey,Till dark grey very silty unweathered,
41,1,22,26,feet,6.71,7.92,6.71,7.92,shale,,greenish grey,"Bedrock - greenish grey, very silty shale trace sand grains. TD 26'",
42,1,0,9,feet,0,2.74,0,2.74,till,,brown,"Till, brown, weathered, sandy",
42,1,9,15,feet,2.74,4.57,2.74,4.57,till,sand,yellow,"1' lens of sand in till, yellow, black and green specks fine - coarse grain",
42,1,15,19,feet,4.57,5.79,4.57,5.79,clay,,grey,"Bedrock, grey, silty clay",
43,1,0,10,feet,0,3.05,0,3.05,till,,brown,Brown sandy till with pebbles,
43,1,10,14,feet,3.05,4.27,3.05,4.27,till,,dark brown,Till? dark chocolate brown with minor to rare pebbles,
43,1,14,19,feet,4.27,5.79,4.27,5.79,shale,,greenish grey,Greenish grey shale (Bedrock),
48,1,0,10,feet,0,3.05,0,3.05,till,,brown,"Brown till, sandy very few pebbles, occ. bluish grey with gypsum",
48,1,10,17,feet,3.05,5.18,3.05,5.18,till,,bluish grey,Bluish grey till with occ. pebbles,
48,1,17,24,feet,5.18,7.32,5.18,7.32,bedrock,,bluish grey,"Bedrock, bluish grey very silty, dry",
49,1,0,12,feet,0,3.66,0,3.66,till,,brown,"Till, brown weathered, silty with occ. pebbles trace minor sand",
49,1,12,15,feet,3.66,4.57,3.66,4.57,till,,,End of weathered zone.,
49,1,15,16,feet,4.57,4.88,4.57,4.88,sand,,,Water table in 1' fine to coarse sand,
49,1,16,32,feet,4.88,9.75,4.88,9.75,till,,grey - dark grey,Grey - dark grey very silty stony till,
49,1,32,40,feet,9.75,12.19,9.75,12.19,till,,,Very sandy till - with silt,
49,1,40,44,feet,12.19,13.41,12.19,13.41,clay,,yellow brown,Bedrock 40' - yellow brown plastic clay (unable to sample due to contamination),
49,1,44,49,feet,13.41,14.94,13.41,14.94,shale,,brown,"Change in ___ Bedrock - brown, firm shale. 49' TD",
50,1,0,11,feet,0,3.35,0,3.35,till,,brown,"Till brown very silty and pebbly, weathered",
50,1,11,31,feet,3.35,9.45,3.35,9.45,till,,grey,Till grey; very silty; unweathered. 18 - 25' slight increase in pebble content,
50,1,31,44,feet,9.45,13.41,9.45,13.41,till,,,Sandy clay till,
50,1,44,46,feet,13.41,14.02,13.41,14.02,till,,,Very sandy till wet but water seeps slowly,
50,1,46,49,feet,14.02,14.94,14.02,14.94,shale,,grey,Top bedrock shale grey very silty but dry,
51,1,0,17,feet,0,5.18,0,5.18,till,clay,brown,"Till - clay brown weathered, with abundant iron specks, silty with occasional pebbles",See redrill log.
51,1,17,21,feet,5.18,6.4,5.18,6.4,till,clay,light grey,Till - clay grey slightly weathered silty with pebbles,
51,1,21,42,feet,6.4,12.8,6.4,12.8,till,clay,grey,"Light grey, very silty, slightly sandy till clay occasional coal fragments",
51,1,42,47,feet,12.8,14.33,12.8,14.33,till,,grey,Till grey very silty shale with bedrock fragments,
51,1,47,55,feet,14.33,16.76,14.33,16.76,shale,,brownish grey,Bedrock shale grey with brown cast silty,
52,1,0,11,feet,0,3.35,0,3.35,sandy till,,brown,Brown sandy till with pebbles. Water table at 7' on thin stringer,
52,1,11,26,feet,3.35,7.92,3.35,7.92,till,,grey,Till grey silty with pebbles,
52,1,26,35,feet,7.92,10.67,7.92,10.67,till,clay,grey to dark grey,Till grey to dark grey very silty clay,
52,1,35,54,feet,10.67,16.46,10.67,16.46,till,,,"Till with local bedrock. Till contains granite, quartz and feldspar.",
52,1,54,60,feet,16.46,18.29,16.46,18.29,shale,,,Bedrock shale silty weathered,
53,1,0,10,feet,0,3.05,0,3.05,till,,brown,Brown weathered sandy till,
53,1,10,19,feet,3.05,5.79,3.05,5.79,sand,,,Sand with water,
53,1,19,48,feet,5.79,14.63,5.79,14.63,silty till,,grey,Till unweathered grey silty with pebbles,
53,1,48,49,feet,14.63,14.94,14.63,14.94,shale,,dark grey,Bedrock dark grey silty shale slightly weathered,
54,1,0,53,feet,0,16.15,0,16.15,till,clay,brown to dark grey,"Till - clay, brown to dark grey, weathered, silty",See log for Shelby tube blow counts and individual sample descriptions
54,1,53,55,feet,16.15,16.76,16.15,16.76,sandstone,,grey,Bedrock. Grey silty sandstone with clay partings at 53'.,
56,1,0,5,feet,0,1.52,0,1.52,till,clay,brown yellow,"Till brown yellow weathered clay, silty",
56,1,5,8,feet,1.52,2.44,1.52,2.44,sand,,yellow brown,Sand very clayey yellow brown fine to coarse grain wet. Clayey till with sand at 8'.,
56,1,8,15,feet,2.44,4.57,2.44,4.57,till,,grey,Till grey very silty with pebbles unweathered,
56,1,15,46,feet,4.57,14.02,4.57,14.02,till,,grey,Till with shale fragments occasional pebbles; 35'?: very silty with common large pebbles,Depth uncertain
56,1,46,50,feet,14.02,15.24,14.02,15.24,shale,,grey brown to green,"Bedrock shale grey-brown with changed to green, silty. TD 50'.",
57,1,0,6,feet,0,1.83,0,1.83,sand,,,Sand very fine grain,
57,1,6,20,feet,1.83,6.1,1.83,6.1,clay,,brown,Lake type deposit - clay weathered brown very silty smooth,
57,1,20,43,feet,6.1,13.11,6.1,13.11,silty till,,grey to dark grey,"Till grey to dark grey very silty with pebbles granite, chert, quartz.",
57,1,43,44,feet,13.11,13.41,13.11,13.41,shale,,grey brown,Bedrock; shale grey weathered brown; silty dry.,
58,1,0,12,feet,0,3.66,0,3.66,till,,brown,"Brown till stony, weathered.",
58,1,12,18,feet,3.66,5.49,3.66,5.49,silty till,,,Till very silty slight weathered - different from above.,
58,1,18,51,feet,5.49,15.54,5.49,15.54,silty till,,dark grey,Till very silty and sandy; dark grey with abundant pebbles.,
58,1,51,71,feet,15.54,21.64,15.54,21.64,shale,,grey,Bedrock? very silty shale grey - with lenses of silt. part of it similar to bottom of hole 9.,
58,1,71,79,feet,21.64,24.08,21.64,24.08,sand,,,"Sand fine to coarse, pink and black speckled clean sand qtz; occasionally very coarse grain,  water bearing",
58,1,79,82,feet,24.08,24.99,24.08,24.99,shale,silty shale,grey,"Bedrock, shale, grey, silty, weathered",
59,1,0,13,feet,0,3.96,0,3.96,till,,dark grey,Till dark grey silty plastic with abundant pebbles,
59,1,13,15,feet,3.96,4.57,3.96,4.57,fine sand,,,Water table in fine glacial sand,
59,1,15,19,feet,4.57,5.79,4.57,5.79,bedrock,,greenish grey,"Bedrock, greenish grey, silty",
60,1,0,16,feet,0,4.88,0,4.88,till,,brown,"Brown till with weathered yellow patches, very sandy",
60,1,16,37,feet,4.88,11.28,4.88,11.28,till,,grey,Till grey with small pebbles,
60,1,37,44,feet,11.28,13.41,11.28,13.41,till,,,Abundant pebbles in till,
60,1,44,54,feet,13.41,16.46,13.41,16.46,till,,grey,"Till grey, silty, with minor pebbles.",
60,1,54,59,feet,16.46,17.98,16.46,17.98,till,,grey,Very sandy from 54 - 59'. Water at 59'.,
60,1,59,60,feet,17.98,18.29,17.98,18.29,no data,,,,See log
60,1,60,68,feet,18.29,20.73,18.29,20.73,sand,,grey,"Sand lens very fine grain, fairly clear grey with black specks, water saturated",
60,1,68,69,feet,20.73,21.03,20.73,21.03,till,,grey,Grey clay till with pebbles,
61,1,0,8,feet,0,2.44,0,2.44,till,,brown,"Till, brown, silty with common pebbles",
61,1,8,27,feet,2.44,8.23,2.44,8.23,till,,grey to dark grey,"Till, grey - dark grey with few pebbles. 17 - 27': Till as above with pebbles of local bedrock - green shale, silty",
61,1,27,34,feet,8.23,10.36,8.23,10.36,shale,,brown,"Bedrock - shale, brown, weathered silt, firm.",
62,1,0,8,feet,0,2.44,0,2.44,till,,brown,"Till, brown, silty, weathered with pebbles",
62,1,8,10,feet,2.44,3.05,2.44,3.05,till,,grey,"Till, grey, silty, stiff with minor pebbles",
62,1,10,14,feet,3.05,4.27,3.05,4.27,clay,,grey,"Bedrock, grey, very silty, clay",
63,1,0,5,feet,0,1.52,0,1.52,till,,brown yellow,"Till, weathered, brown yellow",
63,1,5,9,feet,1.52,2.74,1.52,2.74,shale,,brown and yellow grey,"Bedrock, brown and yellow grey, very silty shale",
64,1,0,6,feet,0,1.83,0,1.83,till,,brown,"Till, brown, silty, smooth, relatively few pebbles, trc. carb. material",
64,1,6,9,feet,1.83,2.74,1.83,2.74,shale,,brown,"Bedrock. Shale, brown, silty, weathered with white specks scattered throughout.",
65,1,0,2,feet,0,0.61,0,0.61,fill,,,Fill material,
65,1,2,7,feet,0.61,2.13,0.61,2.13,till,gypsum,grey brown,Grey brown till - gypsiferous,
65,1,7,13,feet,2.13,3.96,2.13,3.96,shale,,green grey,"Green grey bedrock, shale very silty",
66,1,0,3,feet,0,0.91,0,0.91,fill,,,Fill material,
66,1,3,6,feet,0.91,1.83,0.91,1.83,till,,brown,"Brown till, very silty, weathered.",
66,1,6,10,feet,1.83,3.05,1.83,3.05,silt,,brown,Lake silt; brown weathered,
66,1,10,12,feet,3.05,3.66,3.05,3.66,till,coal,grey,"Till, grey with minor coal and pebbles.",
66,1,12,18,feet,3.66,5.49,3.66,5.49,bedrock,,,Bedrock - grey silty.,
67,1,0,7,feet,0,2.13,0,2.13,till,,brown,"Till, brown, silty",
67,1,7,8,feet,2.13,2.44,2.13,2.44,shale,,yellowish brown,"Bedrock shale, slightly silty, firm, weathered yellowish brown",
67,1,8,9,feet,2.44,2.74,2.44,2.74,shale,,bluish grey,"Bluish grey slightly silty shale, firm.",
68,1,0,5,feet,0,1.52,0,1.52,till,clay,brown,"Till, brown, silty clay",
68,1,5,9,feet,1.52,2.74,1.52,2.74,shale,,bluish grey,"Bedrock, bluish grey, very silty and sandy as hole 67.",
